Category,Respondent,Major vegetables
Farmer,Chapcha FMG,Saag
Farmer,Chapcha FMG,Coriander
Farmer,Chapcha FMG,Squash
Farmer,Chapcha FMG,Bean
Farmer,Chapcha FMG,Pumpkin
Farmer,Chapcha FMG,Chili
Farmer,Chapcha FMG,Potato
Farmer,Chapcha FMG,Onion
Farmer,Chapcha FMG,Cabbage
Farmer,Chapcha FMG,Carrot
Farmer,Chapcha FMG,Radish
Farmer,Chapcha FMG,Cauliflower
Farmer,Dophulakha FMG,Cabbage
Farmer,Dophulakha FMG,Cauliflower
Farmer,Dophulakha FMG,Broccoli
Farmer,Dophulakha FMG,Brinjal
Farmer,Dophulakha FMG,Bean
Farmer,Dophulakha FMG,Carrot
Farmer,Dophulakha FMG,Radish
Farmer,Dophulakha FMG,Coriander
Farmer,Dophulakha FMG,Chili
Farmer,Dophulakha FMG,Tomato
Farmer,Dungna FMG,Sag
Farmer,Dungna FMG,Squash
Farmer,Dungna FMG,Cauliflower
Farmer,Dungna FMG,Cabbage
Farmer,Dungna FMG,Cucumber
Farmer,Dungna FMG,Pumpkin
Farmer,Dungna FMG,Slipper Gourd
Farmer,Metakha FMG,Broccoli
Farmer,Metakha FMG,Cabbage
Farmer,Metakha FMG,Cauliflower
Farmer,Metakha FMG,Radish
Farmer,Metakha FMG,Bean
Farmer,Metakha FMG,Green leaves
Farmer,Bongo FMG,Cabbage
Farmer,Bongo FMG,Saag
Farmer,Bongo FMG,Pumpkin
Farmer,Bongo FMG,Bean
Farmer,Bongo FMG,Potato
Farmer,Bongo FMG,Radish
Farmer,Bongo FMG,Squash
Farmer,Bongo FMG,Chili
Farmer,Bongo FMG,Turnip
Farmer,Darla FMG,Potato
Farmer,Darla FMG,Carrot
Farmer,Darla FMG,Chili
Farmer,Darla FMG,Radish
Farmer,Darla FMG,Onion
Farmer,Darla FMG,Cabbage
Farmer,Samphelling FMG,Sag
Farmer,Samphelling FMG,Chili
Farmer,Samphelling FMG,Broccoli
Farmer,Samphelling FMG,Radish
Farmer,Samphelling FMG,Bean
Farmer,Samphelling FMG,Cauliflower
Farmer,Bjabcho FMG,Potato
Farmer,Bjabcho FMG,Radish
Farmer,Bjabcho FMG,Sag
Farmer,Bjabcho FMG,Turnip
Farmer,Bjabcho FMG,Carrot
Farmer,Bjabcho FMG,Cauliflower
Farmer,Bjabcho FMG,Broccoli
Farmer,Bjabcho FMG,Bean
Farmer,Logchina FMG,Saag
Farmer,Logchina FMG,Radish
Farmer,Logchina FMG,Broccoli
Farmer,Logchina FMG,Cabbage
Farmer,Logchina FMG,Cauliflower
Farmer,Logchina FMG,Carrot
Farmer,Logchina FMG,Bean
