Category,Respondent,What you do with agricultural wastes in your farm?
Farmer,Chapcha FMG,Composting
Farmer,Dophulakha FMG,Composting
Farmer,Dophulakha FMG,Animal feed
Farmer,Dungna FMG,Throw them in field untill it gets rotten
Farmer,Dungna FMG,Composting
Farmer,Metakha FMG,Throw them in field untill it gets rotten
Farmer,Metakha FMG,Composting
Farmer,Bongo FMG,Composting
Farmer,Darla FMG,Throw them in field untill it gets rotten
Farmer,Darla FMG,Burn them
Farmer,Darla FMG,Composting
Farmer,Samphelling FMG,Animal feed
Farmer,Bjabcho FMG,Throw them in field untill it gets rotten
Farmer,Bjabcho FMG,Composting
Farmer,Logchina FMG,Composting
