Category,Respondent,Major vegetables
Farmer,Chapcha FMG,Saag
Farmer,Chapcha FMG,Coriander
Farmer,Chapcha FMG,Squash
Farmer,Chapcha FMG,Bean
Farmer,Chapcha FMG,Pumpkin
Farmer,Chapcha FMG,Chili
Farmer,Chapcha FMG,Potato
Farmer,Chapcha FMG,Onion
Farmer,Chapcha FMG,Cabbage
Farmer,Chapcha FMG,Carrot
Farmer,Chapcha FMG,Radish
Farmer,Dophulakha FMG,Radish
Farmer,Dophulakha FMG,Saag
Farmer,Dophulakha FMG,Bean
Farmer,Dophulakha FMG,Squash
Farmer,Dophulakha FMG,Pumpkin
Farmer,Dophulakha FMG,Bittergourd
Farmer,Dophulakha FMG,Turnip
Farmer,Dophulakha FMG,Brinjal
Farmer,Dophulakha FMG,Chili
Farmer,Dungna FMG,Saag
Farmer,Dungna FMG,Squash
Farmer,Dungna FMG,Cabbage
Farmer,Dungna FMG,Cauliflower
Farmer,Dungna FMG,Chili
Farmer,Dungna FMG,Slipper gourd
Farmer,Dungna FMG,Bean
Farmer,Dungna FMG,Pumpkin
Farmer,Dungna FMG,Cucumber
Farmer,Dungna FMG,Radish
Farmer,Metakha FMG,Green Leaves
Farmer,Metakha FMG,Radish
Farmer,Metakha FMG,Bean
Farmer,Metakha FMG,Tomato
Farmer,Bongo FMG,Cabbage
Farmer,Bongo FMG,Saag
Farmer,Bongo FMG,Pumpkin
Farmer,Bongo FMG,Bean
Farmer,Bongo FMG,Potato
Farmer,Bongo FMG,Squash
Farmer,Bongo FMG,Radish
Farmer,Bongo FMG,Chili
Farmer,Bongo FMG,Turnip
Farmer,Darla FMG,Chili
Farmer,Darla FMG,Potato
Farmer,Darla FMG,Cabbage
Farmer,Darla FMG,Cauliflower
Farmer,Darla FMG,Broccoli
Farmer,Darla FMG,Carrot
Farmer,Darla FMG,Radish
Farmer,Darla FMG,Coriander
Farmer,Darla FMG,Bean
Farmer,Darla FMG,Saag
Farmer,Samphelling FMG,Chili
Farmer,Samphelling FMG,Saag
Farmer,Samphelling FMG,Bean
Farmer,Samphelling FMG,Cabbage
Farmer,Samphelling FMG,Broccoli
Farmer,Samphelling FMG,Potato
Farmer,Samphelling FMG,Tomato
Farmer,Samphelling FMG,Pumpkin
Farmer,Bjabcho FMG,Potato
Farmer,Bjabcho FMG,Cabbage
Farmer,Bjabcho FMG,Cauliflower
Farmer,Bjabcho FMG,Bean
Farmer,Bjabcho FMG,Radish
Farmer,Bjabcho FMG,Turnip
Farmer,Bjabcho FMG,Squash
Farmer,Bjabcho FMG,Carrot
Farmer,Bjabcho FMG,Saag
Farmer,Bjabcho FMG,Broccoli
Farmer,Logchina FMG,Saag
Farmer,Logchina FMG,Radish
Farmer,Logchina FMG,Chili
Farmer,Logchina FMG,Broccoli
Farmer,Logchina FMG,Turnip
