Category,Respondent,What you do with agricultural wastes in your farm?
Farmer,Chapcha FMG,Throw them in field untill it gets rotten
Farmer,Chapcha FMG,Burn them
Farmer,Dophulakha FMG,Animal feed
Farmer,Dophulakha FMG,Throw them in field untill it gets rotten
Farmer,Dungna FMG,Throw them in field untill it gets rotten
Farmer,Metakha FMG,Burn them
Farmer,Bongo FMG,Animal feed
Farmer,Darla FMG,Throw them in field untill it gets rotten
Farmer,Samphelling FMG,Animal feed
Farmer,Bjabcho FMG,Throw them in field untill it gets rotten
Farmer,Logchina  FMG,Throw them in field untill it gets rotten
Farmer,Logchina  FMG,Burn them
