Category,Respondent,Major vegetables
Farmer,Chapcha MSS and Semagangkha PS,Saag
Farmer,Chapcha MSS and Semagangkha PS,Coriander
Farmer,Chapcha MSS and Semagangkha PS,Squash
Farmer,Chapcha MSS and Semagangkha PS,Bean
Farmer,Chapcha MSS and Semagangkha PS,Pumpkin
Farmer,Chapcha MSS and Semagangkha PS,Chilli
Farmer,Chapcha MSS and Semagangkha PS,Potato
Farmer,Chapcha MSS and Semagangkha PS,Onion
Farmer,Chapcha MSS and Semagangkha PS,Cabbage
Farmer,Chapcha MSS and Semagangkha PS,Carrot
Farmer,Chapcha MSS and Semagangkha PS,Radish
Farmer,Farmer2,Radish
Farmer,Farmer2,Saag
Farmer,Farmer2,Bean
Farmer,Farmer2,Squash
Farmer,Farmer2,Pumpkin
Farmer,Farmer2,Bittergourd
Farmer,Farmer2,Turnip
Farmer,Farmer2,Brinjal
Farmer,Farmer2,Chilli
Farmer,Farmer3,Saag
Farmer,Farmer3,Squash
Farmer,Farmer3,Cabbage
Farmer,Farmer3,Cauliflower
Farmer,Farmer3,Chilli
Farmer,Farmer3,Slipper gourd
Farmer,Farmer3,Bean
Farmer,Farmer3,Pumpkin
Farmer,Farmer3,Cucumber
Farmer,Farmer3,Radish
Farmer,Farmer4,Green Leaves
Farmer,Farmer4,Radish
Farmer,Farmer4,Bean
Farmer,Farmer4,Tomato
Farmer,Farmer5,Cabbage
Farmer,Farmer5,Saag
Farmer,Farmer5,Pumpkin
Farmer,Farmer5,Bean
Farmer,Farmer5,Potato
Farmer,Farmer5,Squash
Farmer,Farmer5,Radish
Farmer,Farmer5,Chilli
Farmer,Farmer5,Turnip
Farmer,Farmer6,Chilli
Farmer,Farmer6,Potato
Farmer,Farmer6,Cabbage
Farmer,Farmer6,Cauliflower
Farmer,Farmer6,Broccoli
Farmer,Farmer6,Carrot
Farmer,Farmer6,Radish
Farmer,Farmer6,Coriander
Farmer,Farmer6,Bean
Farmer,Farmer6,Saag
Farmer,Farmer7,Chilli
Farmer,Farmer7,Saag
Farmer,Farmer7,Bean
Farmer,Farmer7,Cabbage
Farmer,Farmer7,Broccoli
Farmer,Farmer7,Potato
Farmer,Farmer7,Tomato
Farmer,Farmer7,Pumpkin
Farmer,Farmer8,Potato
Farmer,Farmer8,Cabbage
Farmer,Farmer8,Cauliflower
Farmer,Farmer8,Bean
Farmer,Farmer8,Radish
Farmer,Farmer8,Turnip
Farmer,Farmer8,Squash
Farmer,Farmer8,Carrot
Farmer,Farmer8,Saag
Farmer,Farmer8,Broccoli
