Village,Type,Land Holding,Percent Cultivated
Chapcha,Dry,6.6,100
Dophulakha,Dry,1.8,100
Dungna,Dry,1.2,0
Metakha,Dry,2,100
Bongo,Dry,2,100
Darla,Dry,2,80
Samphelling,Dry,0.4,50
Bjabcho,Dry,25,50
Logchina,Dry,2,100
Chapcha,Wet,0.6,100
Dophulakha,Wet,0,0
Dungna,Wet,0.3,0
Metakha,Wet,0.5,100
Bongo,Wet,1.45,100
Darla,Wet,0,0
Samphelling,Wet,0.58,100
Bjabcho,Wet,0,0
Logchina,Wet,0,0
Chapcha,Orchard,0,0
Dophulakha,Orchard,0.7,100
Dungna,Orchard,0,0
Metakha,Orchard,0,0
Bongo,Orchard,1.5,100
Darla,Orchard,1,100
Samphelling,Orchard,,
Bjabcho,Orchard,,
Logchina,Orchard,,
