Category,Respondent,What are the main reasons of not being able to have farmers as your main vegetable suppliers?
School,Kamji,Budget limitations
School,Cukha CS,Expensive local vegetables
School,Cukha CS,Budget limitations
School,Chimuna PS,Budget limitations
School,Chongyekha PS,Expensive local vegetables
School,Chongyekha PS,Budget limitations
School,Logchina LSS,Expensive local vegetables
School,Logchina LSS,Budget limitations
School,Sinchula PS,Unfavourable financial rules and regulations
School,Chongaykha PS2,Produce unavailable
School,Pakshikha CS,Budget limitations
School,Chapcha MSS,Produce unavailable
School,Semagangkha PS,Produce unavailable
School,Dungna LSS,Unfavourable financial rules and regulations
School,Metakha PS,Produce unavailable
